Date,Outcome,P,Team,Opponent,Strength,OppStrength
11/8/2013,W 73 - 62,0.790842969,Arizona,Cal Poly,4.999827734,-0.039270678
11/11/2013,W 91 - 57,0.980977247,Arizona,Long Beach St.,4.999827734,0.044698332
11/14/2013,W 69 - 60,0.754102947,Arizona,San Diego St.,4.999827734,1.999931093
11/18/2013,W 100 - 50,0.998228273,Arizona,Fairleigh Dickinson,4.999827734,-0.30235229
11/19/2013,W 87 - 59,0.964099217,Arizona,Rhode Island,4.999827734,0.328213468
11/27/2013,W 66 - 62,0.610593062,Arizona,Drexel,4.999827734,0.273617648
11/29/2013,W 72 - 66,0.659921671,Arizona,Duke,4.999827734,3.832243441
12/3/2013,W 79 - 58,0.925494219,Arizona,Texas Tech,4.999827734,0.789564111
12/7/2013,W 63 - 58,0.652555017,Arizona,UNLV,4.999827734,0.779985897
12/11/2013,W 74 - 48,0.974449832,Arizona,New Mexico St.,4.999827734,0.639186151
12/14/2013,W 72 - 70,0.530585602,Arizona,Michigan,4.999827734,2.668490434
12/19/2013,W 69 - 43,0.982655725,Arizona,Southern U.,4.999827734,-0.193479924
12/23/2013,W 77 - 44,0.992167102,Arizona,Northern Ariz.,4.999827734,-0.238816804
1/2/2014,W 60 - 25,0.999627005,Arizona,Washington St.,4.999827734,0.166341651
1/4/2014,W 71 - 62,0.748414771,Arizona,Washington,4.999827734,0.704956554
1/9/2014,W 79 - 75,0.587094368,Arizona,UCLA,4.999827734,3.02926983
1/12/2014,W 73 - 53,0.931648639,Arizona,Southern California,4.999827734,0.212955626
1/16/2014,W 91 - 68,0.915609847,Arizona,Arizona St.,4.999827734,1.446629595
1/23/2014,W 69 - 57,0.828235733,Arizona,Colorado,4.999827734,1.215794637
1/26/2014,W 65 - 56,0.768929504,Arizona,Utah,4.999827734,1.546243021
1/29/2014,W 60 - 57,0.585136143,Arizona,Stanford,4.999827734,1.54783939
2/1/2014,L 58 - 60,0.452909362,Arizona,California,4.999827734,1.0456217
2/6/2014,W 67 - 65,0.537486013,Arizona,Oregon,4.999827734,2.244494825
2/9/2014,W 76 - 54,0.943957479,Arizona,Oregon St.,4.999827734,0.818298754
2/14/2014,L 66 - 69 (2OT),0.430156658,Arizona,Arizona St.,4.999827734,1.446629595
2/19/2014,W 67 - 63 (1OT),0.607888847,Arizona,Utah,4.999827734,1.546243021
2/22/2014,W 88 - 61,0.955147333,Arizona,Colorado,4.999827734,1.215794637
2/26/2014,W 87 - 59,0.964099217,Arizona,California,4.999827734,1.0456217
3/2/2014,W 79 - 66,0.814341664,Arizona,Stanford,4.999827734,1.54783939
3/5/2014,W 74 - 69,0.625792615,Arizona,Oregon St.,4.999827734,0.818298754
3/8/2014,L 57 - 64,0.287206266,Arizona,Oregon,4.999827734,2.244494825
3/13/2014,W 71 - 39,0.995244312,Arizona,Utah,4.999827734,1.546243021
3/14/2014,W 63 - 43,0.96232749,Arizona,Colorado,4.999827734,1.215794637
3/15/2014,L 71 - 75,0.405538978,Arizona,UCLA,4.999827734,3.02926983
11/8/2013,W 77 - 69,0.701697128,Florida,North Florida,4.828377702,-0.188371543
11/12/2013,L 53 - 59,0.301286833,Florida,Wisconsin,4.828377702,3.498602318
11/16/2013,W 86 - 56,0.973517344,Florida,UALR,4.828377702,-0.210082161
11/18/2013,W 67 - 53,0.871969414,Florida,Southern U.,4.828377702,-0.193479924
11/21/2013,W 79 - 59,0.916076091,Florida,Middle Tenn.,4.828377702,0.361737217
11/25/2013,W 86 - 60,0.952256621,Florida,Jacksonville,4.828377702,-0.327255647
11/29/2013,W 67 - 66,0.51230884,Florida,Florida St.,4.828377702,1.513677094
12/2/2013,L 64 - 65,0.484334204,Florida,UConn,4.828377702,2.139134471
12/10/2013,W 67 - 61,0.672696755,Florida,Kansas,4.828377702,3.482000081
12/17/2013,W 77 - 75,0.527135397,Florida,Memphis,4.828377702,1.692789696
12/21/2013,W 66 - 49,0.91999254,Florida,Fresno St.,4.828377702,0.214551995
12/29/2013,W 76 - 34,0.999347258,Florida,Savannah St.,4.828377702,-0.337472408
1/4/2014,W 67 - 58,0.76156285,Florida,Richmond,4.828377702,0.594168545
1/8/2014,W 74 - 58,0.880268557,Florida,South Carolina,4.828377702,0.485296178
1/11/2014,W 84 - 82 (1OT),0.523218948,Florida,Arkansas,4.828377702,1.629573484
1/14/2014,W 72 - 50,0.95384185,Florida,Georgia,4.828377702,0.768811314
1/18/2014,W 68 - 61,0.699832152,Florida,Auburn,4.828377702,0.449856787
1/23/2014,W 68 - 62,0.670925028,Florida,Alabama,4.828377702,0.832027527
1/25/2014,W 67 - 41,0.985173443,Florida,Tennessee,4.828377702,2.383059655
1/30/2014,W 62 - 51,0.834763148,Florida,Mississippi St.,4.828377702,0.065770403
2/1/2014,W 69 - 36,0.997482283,Florida,Texas A&M,4.828377702,0.657384758
2/4/2014,W 68 - 58,0.785154793,Florida,Missouri,4.828377702,1.28156504
2/8/2014,W 78 - 69,0.72463633,Florida,Alabama,4.828377702,0.832027527
2/11/2014,W 67 - 58,0.76156285,Florida,Tennessee,4.828377702,2.383059655
2/15/2014,W 69 - 59,0.78151809,Florida,Kentucky,4.828377702,2.85877762
2/19/2014,W 71 - 66,0.633439015,Florida,Auburn,4.828377702,0.449856787
2/22/2014,W 75 - 71,0.593155539,Florida,Ole Miss,4.828377702,0.857569431
2/25/2014,W 57 - 54,0.591104066,Florida,Vanderbilt,4.828377702,0.595764914
3/1/2014,W 79 - 61,0.891644909,Florida,LSU,4.828377702,1.109157187
3/4/2014,W 72 - 46,0.976687803,Florida,South Carolina,4.828377702,0.485296178
3/8/2014,W 84 - 65,0.890432674,Florida,Kentucky,4.828377702,2.85877762
3/14/2014,W 72 - 49,0.963446475,Florida,Missouri,4.828377702,1.28156504
3/15/2014,W 56 - 49,0.742819843,Florida,Tennessee,4.828377702,2.383059655
3/16/2014,W 61 - 60,0.517530772,Florida,Kentucky,4.828377702,2.85877762
11/9/2013,W 70 - 48,0.960276016,Louisville,Col. of Charleston,4.670656444,-0.094505045
11/12/2013,W 97 - 69,0.943397986,Louisville,Hofstra,4.670656444,-0.190287186
11/15/2013,W 99 - 54,0.995710556,Louisville,Cornell,4.670656444,-0.420164323
11/19/2013,W 87 - 48,0.994871317,Louisville,Hartford,4.670656444,-0.207208697
11/23/2013,W 71 - 57,0.858541589,Louisville,Fairfield,4.670656444,-0.200823221
11/24/2013,L 84 - 93,0.311730698,Louisville,North Carolina,4.670656444,2.403173905
11/29/2013,W 69 - 38,0.995057814,Louisville,Southern Miss.,4.670656444,0.702402364
12/4/2013,W 90 - 62,0.958317792,Louisville,UMKC,4.670656444,-0.264358708
12/7/2013,W 113 - 74,0.971838866,Louisville,La.-Lafayette,4.670656444,0.156763437
12/14/2013,W 79 - 63,0.865162253,Louisville,Western Ky.,4.670656444,-0.008939666
12/17/2013,W 90 - 60,0.967362924,Louisville,Missouri St.,4.670656444,0.204654507
12/21/2013,W 85 - 56,0.96997389,Louisville,FIU,4.670656444,-0.167299472
12/28/2013,L 66 - 73,0.313036181,Louisville,Kentucky,4.670656444,2.85877762
