"date","value","type","groupid","group","underlyer"
"2012-05-28",55.81,"past",27,"VPOS","AXP_US"
"2012-05-29",56.56,"past",27,"VPOS","AXP_US"
"2012-05-30",55.46,"past",27,"VPOS","AXP_US"
"2012-05-31",55.83,"past",27,"VPOS","AXP_US"
"2012-06-01",53.43,"past",27,"VPOS","AXP_US"
"2012-06-04",53.51,"past",27,"VPOS","AXP_US"
"2012-06-05",53.98,"past",27,"VPOS","AXP_US"
"2012-06-06",55.38,"past",27,"VPOS","AXP_US"
"2012-06-07",55.24,"past",27,"VPOS","AXP_US"
"2012-06-08",55.86,"past",27,"VPOS","AXP_US"
"2012-06-11",55.1,"past",27,"VPOS","AXP_US"
"2012-06-12",56.48,"past",27,"VPOS","AXP_US"
"2012-06-13",55.1,"past",27,"VPOS","AXP_US"
"2012-06-14",55.05,"past",27,"VPOS","AXP_US"
"2012-06-15",56.28,"past",27,"VPOS","AXP_US"
"2012-06-18",55.85,"past",27,"VPOS","AXP_US"
"2012-06-19",56.94,"past",27,"VPOS","AXP_US"
"2012-06-20",57.44,"past",27,"VPOS","AXP_US"
"2012-06-21",56.32,"past",27,"VPOS","AXP_US"
"2012-06-22",56.79,"past",27,"VPOS","AXP_US"
"2012-06-25",56.05,"past",27,"VPOS","AXP_US"
"2012-06-26",56.11,"past",27,"VPOS","AXP_US"
"2012-06-27",56.88,"past",27,"VPOS","AXP_US"
"2012-06-28",56.69,"past",27,"VPOS","AXP_US"
"2012-06-29",58.21,"past",27,"VPOS","AXP_US"
"2012-07-02",59.05,"past",27,"VPOS","AXP_US"
"2012-07-03",59.41,"past",27,"VPOS","AXP_US"
"2012-07-04",59.41,"past",27,"VPOS","AXP_US"
"2012-07-05",59.25,"past",27,"VPOS","AXP_US"
"2012-07-06",58.63,"past",27,"VPOS","AXP_US"
"2012-07-09",58.41,"past",27,"VPOS","AXP_US"
"2012-07-10",58.39,"past",27,"VPOS","AXP_US"
"2012-07-11",58.08,"past",27,"VPOS","AXP_US"
"2012-07-12",56.93,"past",27,"VPOS","AXP_US"
"2012-07-13",57.93,"past",27,"VPOS","AXP_US"
"2012-07-16",58.64,"past",27,"VPOS","AXP_US"
"2012-07-17",58.68,"past",27,"VPOS","AXP_US"
"2012-07-18",58.29,"past",27,"VPOS","AXP_US"
"2012-07-19",56.23,"past",27,"VPOS","AXP_US"
"2012-07-20",55.81,"past",27,"VPOS","AXP_US"
"2012-07-23",55.73,"past",27,"VPOS","AXP_US"
"2012-07-24",55.63,"past",27,"VPOS","AXP_US"
"2012-07-25",56.05,"past",27,"VPOS","AXP_US"
"2012-07-26",57.76,"past",27,"VPOS","AXP_US"
"2012-07-27",58.53,"past",27,"VPOS","AXP_US"
"2012-07-30",58.29,"past",27,"VPOS","AXP_US"
"2012-07-31",57.71,"past",27,"VPOS","AXP_US"
"2012-08-01",56.8,"past",27,"VPOS","AXP_US"
"2012-08-02",56.49,"past",27,"VPOS","AXP_US"
"2012-08-03",57.61,"past",27,"VPOS","AXP_US"
"2012-08-06",57.1,"past",27,"VPOS","AXP_US"
"2012-08-07",57.64,"past",27,"VPOS","AXP_US"
"2012-08-08",57.91,"past",27,"VPOS","AXP_US"
"2012-08-09",56.47,"past",27,"VPOS","AXP_US"
"2012-08-10",55.85,"past",27,"VPOS","AXP_US"
"2012-08-13",56.13,"past",27,"VPOS","AXP_US"
"2012-08-14",56.08,"past",27,"VPOS","AXP_US"
"2012-08-15",56.66,"past",27,"VPOS","AXP_US"
"2012-08-16",57.37,"past",27,"VPOS","AXP_US"
"2012-08-17",57.59,"past",27,"VPOS","AXP_US"
"2012-08-20",56.9,"past",27,"VPOS","AXP_US"
"2012-08-21",56.6,"past",27,"VPOS","AXP_US"
"2012-08-22",56.82,"past",27,"VPOS","AXP_US"
"2012-08-23",56.42,"past",27,"VPOS","AXP_US"
"2012-08-24",57.49,"past",27,"VPOS","AXP_US"
"2012-08-27",57.42,"past",27,"VPOS","AXP_US"
"2012-08-28",57.56,"past",27,"VPOS","AXP_US"
"2012-08-29",57.42,"past",27,"VPOS","AXP_US"
"2012-08-30",57.17,"past",27,"VPOS","AXP_US"
"2012-08-31",58.3,"past",27,"VPOS","AXP_US"
"2012-09-03",58.3,"past",27,"VPOS","AXP_US"
"2012-09-04",58.61,"past",27,"VPOS","AXP_US"
"2012-09-05",57.19,"past",27,"VPOS","AXP_US"
"2012-09-06",57.41,"past",27,"VPOS","AXP_US"
"2012-09-07",57.73,"past",27,"VPOS","AXP_US"
