"date","value","groupid","group"
"2011-01-14",69.2044,27,"VPOS"
"2011-01-15",70.1344,27,"VPOS"
"2011-01-16",68.7704,27,"VPOS"
"2011-01-17",69.2292,27,"VPOS"
"2011-01-18",66.2532,27,"VPOS"
"2011-01-21",66.3524,27,"VPOS"
"2011-01-22",66.9352,27,"VPOS"
"2011-01-23",68.6712,27,"VPOS"
"2011-01-24",68.4976,27,"VPOS"
"2011-01-25",69.2664,27,"VPOS"
"2011-01-28",68.324,27,"VPOS"
"2011-01-29",70.0352,27,"VPOS"
"2011-01-30",68.324,27,"VPOS"
"2011-01-31",68.262,27,"VPOS"
"2011-02-01",69.7872,27,"VPOS"
"2011-02-04",69.254,27,"VPOS"
"2011-02-05",70.6056,27,"VPOS"
"2011-02-06",71.2256,27,"VPOS"
"2011-02-07",69.8368,27,"VPOS"
"2011-02-08",70.4196,27,"VPOS"
"2011-02-11",69.502,27,"VPOS"
"2011-02-12",69.5764,27,"VPOS"
"2011-02-13",70.5312,27,"VPOS"
"2011-02-14",70.2956,27,"VPOS"
"2011-02-15",72.1804,27,"VPOS"
"2011-02-18",73.222,27,"VPOS"
"2011-02-19",73.6684,27,"VPOS"
"2011-02-20",73.6684,27,"VPOS"
"2011-02-21",73.47,27,"VPOS"
"2011-02-22",72.7012,27,"VPOS"
"2011-02-25",72.4284,27,"VPOS"
"2011-02-26",72.4036,27,"VPOS"
"2011-02-27",72.0192,27,"VPOS"
"2011-02-28",70.5932,27,"VPOS"
"2011-03-01",71.8332,27,"VPOS"
"2011-03-04",72.7136,27,"VPOS"
"2011-03-05",72.7632,27,"VPOS"
"2011-03-06",72.2796,27,"VPOS"
"2011-03-07",69.7252,27,"VPOS"
"2011-03-08",69.2044,27,"VPOS"
"2011-03-11",69.1052,27,"VPOS"
"2011-03-12",68.9812,27,"VPOS"
"2011-03-13",69.502,27,"VPOS"
"2011-03-14",71.6224,27,"VPOS"
"2011-03-15",72.5772,27,"VPOS"
"2011-03-18",72.2796,27,"VPOS"
"2011-03-19",71.5604,27,"VPOS"
"2011-03-20",70.432,27,"VPOS"
"2011-03-21",70.0476,27,"VPOS"
"2011-03-22",71.4364,27,"VPOS"
"2011-03-25",70.804,27,"VPOS"
"2011-03-26",71.4736,27,"VPOS"
"2011-03-27",71.8084,27,"VPOS"
"2011-03-28",70.0228,27,"VPOS"
"2011-03-29",69.254,27,"VPOS"
"2011-04-01",69.6012,27,"VPOS"
