"date","value","groupid","group"
2012-10-15,82.64,170,"VPOS"
2012-10-16,83.25,170,"VPOS"
2012-10-17,84,170,"VPOS"
2012-10-18,83.54,170,"VPOS"
2012-10-19,81.85,170,"VPOS"
2012-10-22,81.83,170,"VPOS"
2012-10-23,81.4203,170,"VPOS"
2012-10-24,81.2,170,"VPOS"
2012-10-25,81.53,170,"VPOS"
2012-10-26,81.14,170,"VPOS"
2012-10-29,81.14,170,"VPOS"
2012-10-30,81.14,170,"VPOS"
2012-10-31,81.63,170,"VPOS"
2012-11-01,82.49,170,"VPOS"
2012-11-02,81.1913,170,"VPOS"
2012-11-05,81.7266,170,"VPOS"
2012-11-06,82.34,170,"VPOS"
2012-11-07,80.34,170,"VPOS"
2012-11-08,79.21,170,"VPOS"
2012-11-09,79.38,170,"VPOS"
2012-11-12,79.15,170,"VPOS"
2012-11-13,78.7,170,"VPOS"
2012-11-14,77.24,170,"VPOS"
2012-11-15,76.8401,170,"VPOS"
2012-11-16,77.48,170,"VPOS"
2012-11-19,79.1194,170,"VPOS"
2012-11-20,79.2611,170,"VPOS"
2012-11-21,79.68,170,"VPOS"
2012-11-22,79.68,170,"VPOS"
2012-11-23,80.47,170,"VPOS"
2012-11-26,80.73,170,"VPOS"
2012-11-27,80.63,170,"VPOS"
2012-11-28,81.31,170,"VPOS"
2012-11-29,82.24,170,"VPOS"
2012-11-30,82.08,170,"VPOS"
2012-12-03,81.99,170,"VPOS"
2012-12-04,82.0885,170,"VPOS"
2012-12-05,81.9933,170,"VPOS"
2012-12-06,82.1206,170,"VPOS"
2012-12-07,82.18,170,"VPOS"
2012-12-10,82.54,170,"VPOS"
2012-12-11,83.41,170,"VPOS"
2012-12-12,82.94,170,"VPOS"
2012-12-13,82.41,170,"VPOS"
2012-12-14,82.36,170,"VPOS"
2012-12-17,83.52,170,"VPOS"
2012-12-18,84.6615,170,"VPOS"
2012-12-19,84.12,170,"VPOS"
2012-12-20,84.54,170,"VPOS"
2012-12-21,84.19,170,"VPOS"
2012-12-24,83.78,170,"VPOS"
2012-12-25,83.78,170,"VPOS"
2012-12-26,83.1808,170,"VPOS"
2012-12-27,83.12,170,"VPOS"
2012-12-28,82.53,170,"VPOS"
2012-12-31,84.3178,170,"VPOS"
2013-01-01,84.3178,170,"VPOS"
2013-01-02,86.8,170,"VPOS"
2013-01-03,86.6,170,"VPOS"
2013-01-04,87.24,170,"VPOS"
2013-01-07,86.91,170,"VPOS"
2013-01-08,86.8487,170,"VPOS"
2013-01-09,87.27,170,"VPOS"
2013-01-10,87.47,170,"VPOS"
2013-01-11,87.34,170,"VPOS"
2013-01-14,87.39,170,"VPOS"
2013-01-15,87.77,170,"VPOS"
2013-01-16,87.51,170,"VPOS"
2013-01-17,88.32,170,"VPOS"
2013-01-18,88.57,170,"VPOS"
2013-01-21,88.57,170,"VPOS"
2013-01-22,89.21,170,"VPOS"
2013-01-23,89,170,"VPOS"
2013-01-24,89.29,170,"VPOS"
2013-01-25,89.94,170,"VPOS"
2013-01-28,90,170,"VPOS"
2013-01-29,90.05,170,"VPOS"
2013-01-30,88.97,170,"VPOS"
2013-01-31,89.58,170,"VPOS"
2013-02-01,90.37,170,"VPOS"
2013-02-04,89.28,170,"VPOS"
2013-02-05,90.08,170,"VPOS"
2013-02-06,90.46,170,"VPOS"
2013-02-07,90.16,170,"VPOS"
2013-02-08,90.8,170,"VPOS"
2013-02-11,90.7,170,"VPOS"
2013-02-12,91.1,170,"VPOS"
2013-02-13,91.48,170,"VPOS"
2013-02-14,91.71,170,"VPOS"
2013-02-15,91.74,170,"VPOS"
2013-02-18,91.74,170,"VPOS"
2013-02-19,92.55,170,"VPOS"
2013-02-20,90.8299,170,"VPOS"
2013-02-21,89.95,170,"VPOS"
2013-02-22,91.03,170,"VPOS"
2013-02-25,89.02,170,"VPOS"
2013-02-26,89.37,170,"VPOS"
2013-02-27,90.31,170,"VPOS"
2013-02-28,90.48,170,"VPOS"
2013-03-01,90.89,170,"VPOS"
2013-03-04,91.13,170,"VPOS"
2013-03-05,92.19,170,"VPOS"
2013-03-06,92.43,170,"VPOS"
2013-03-07,92.87,170,"VPOS"
2013-03-08,93.73,170,"VPOS"
2013-03-11,93.7,170,"VPOS"
2013-03-12,93.51,170,"VPOS"
2013-03-13,93.86,170,"VPOS"
2013-03-14,94.8,170,"VPOS"
2013-03-15,94.75,170,"VPOS"
2013-03-18,94.23,170,"VPOS"
2013-03-19,93.83,170,"VPOS"
2013-03-20,94.7,170,"VPOS"
2013-03-21,93.87,170,"VPOS"
2013-03-22,94.16,170,"VPOS"
2013-03-25,93.95,170,"VPOS"
2013-03-26,94.25,170,"VPOS"
2013-03-27,94.314,170,"VPOS"
2013-03-28,94.43,170,"VPOS"
2013-03-29,94.43,170,"VPOS"
2013-04-01,93.16,170,"VPOS"
2013-04-02,92.58,170,"VPOS"
2013-04-03,91.13,170,"VPOS"
2013-04-04,91.91,170,"VPOS"
2013-04-05,91.73,170,"VPOS"
2013-04-08,92.49,170,"VPOS"
2013-04-09,92.22,170,"VPOS"
2013-04-10,93.89,170,"VPOS"
2013-04-11,94.02,170,"VPOS"
2013-04-12,93.64,170,"VPOS"
2013-04-15,90.11,170,"VPOS"
2013-04-16,91.67,170,"VPOS"
2013-04-17,90.076,170,"VPOS"
2013-04-18,89.58,170,"VPOS"
2013-04-19,90.61,170,"VPOS"
2013-04-22,90.87,170,"VPOS"
2013-04-23,92.31,170,"VPOS"
2013-04-24,92.79,170,"VPOS"
2013-04-25,93.4,170,"VPOS"
2013-04-26,92.9,170,"VPOS"
2013-04-29,93.57,170,"VPOS"
2013-04-30,94.1,170,"VPOS"
2013-05-01,91.8199,170,"VPOS"
2013-05-02,93.28,170,"VPOS"
2013-05-03,94.76,170,"VPOS"
2013-05-06,95.37,170,"VPOS"
2013-05-07,96.15,170,"VPOS"
2013-05-08,96.43,170,"VPOS"
2013-05-09,96.1,170,"VPOS"
2013-05-10,96.83,170,"VPOS"
2013-05-13,96.76,170,"VPOS"
2013-05-14,98,170,"VPOS"
2013-05-15,98.2,170,"VPOS"
2013-05-16,97.95,170,"VPOS"
2013-05-17,99.05,170,"VPOS"
2013-05-20,99.21,170,"VPOS"
2013-05-21,99.23,170,"VPOS"
2013-05-22,97.78,170,"VPOS"
2013-05-23,97.9,170,"VPOS"
2013-05-24,97.88,170,"VPOS"
2013-05-27,97.88,170,"VPOS"
2013-05-28,99.15,170,"VPOS"
2013-05-29,98.23,170,"VPOS"
2013-05-30,98.89,170,"VPOS"
2013-05-31,97.8,170,"VPOS"
2013-06-03,98.73,170,"VPOS"
2013-06-04,97.68,170,"VPOS"
2013-06-05,96.43,170,"VPOS"
2013-06-06,97.45,170,"VPOS"
2013-06-07,98.2,170,"VPOS"
2013-06-10,98.8,170,"VPOS"
2013-06-11,97.73,170,"VPOS"
2013-06-12,96.76,170,"VPOS"
2013-06-13,98.475,170,"VPOS"
2013-06-14,97.711,170,"VPOS"
2013-06-17,98.35,170,"VPOS"
2013-06-18,99.51,170,"VPOS"
2013-06-19,98.29,170,"VPOS"
2013-06-20,95.69,170,"VPOS"
2013-06-21,95.975,170,"VPOS"
2013-06-24,94.71,170,"VPOS"
2013-06-25,95.62,170,"VPOS"
2013-06-26,96.07,170,"VPOS"
2013-06-27,97.56,170,"VPOS"
2013-06-28,97,170,"VPOS"
2013-07-01,98.58,170,"VPOS"
2013-07-02,98.08,170,"VPOS"
2013-07-03,98.28,170,"VPOS"
2013-07-04,98.28,170,"VPOS"
2013-07-05,99.67,170,"VPOS"
2013-07-08,100.07,170,"VPOS"
2013-07-09,101,170,"VPOS"
2013-07-10,101.28,170,"VPOS"
2013-07-11,102.47,170,"VPOS"
2013-07-12,102.68,170,"VPOS"
2013-07-15,103.58,170,"VPOS"
2013-07-16,103.06,170,"VPOS"
2013-07-17,103.46,170,"VPOS"
2013-07-18,104.15,170,"VPOS"
2013-07-19,104.31,170,"VPOS"
2013-07-22,104.53,170,"VPOS"
2013-07-23,104.46,170,"VPOS"
2013-07-24,103.5899,170,"VPOS"
2013-07-25,104.54,170,"VPOS"
2013-07-26,104.12,170,"VPOS"
2013-07-29,103.39,170,"VPOS"
2013-07-30,103.48,170,"VPOS"
2013-07-31,103.655,170,"VPOS"
2013-08-01,105.07,170,"VPOS"
2013-08-02,105.16,170,"VPOS"
2013-08-05,105.52,170,"VPOS"
2013-08-06,104.46,170,"VPOS"
2013-08-07,103.72,170,"VPOS"
2013-08-08,104.15,170,"VPOS"
2013-08-09,104.04,170,"VPOS"
2013-08-12,104.59,170,"VPOS"
2013-08-13,104.45,170,"VPOS"
2013-08-14,104.04,170,"VPOS"
2013-08-15,102.11,170,"VPOS"
2013-08-16,101.68,170,"VPOS"
2013-08-19,100.648,170,"VPOS"
2013-08-20,102.1,170,"VPOS"
2013-08-21,101.48,170,"VPOS"
2013-08-22,102.91,170,"VPOS"
2013-08-23,103.17,170,"VPOS"
2013-08-26,103.18,170,"VPOS"
2013-08-27,100.76,170,"VPOS"
2013-08-28,100.96,170,"VPOS"
2013-08-29,101.97,170,"VPOS"
2013-08-30,100.38,170,"VPOS"
2013-09-02,100.38,170,"VPOS"
2013-09-03,101.06,170,"VPOS"
2013-09-04,101.95,170,"VPOS"
2013-09-05,102.11,170,"VPOS"
2013-09-06,102.39,170,"VPOS"
2013-09-09,103.94,170,"VPOS"
2013-09-10,104.96,170,"VPOS"
2013-09-11,105.01,170,"VPOS"
2013-09-12,104.24,170,"VPOS"
2013-09-13,104.81,170,"VPOS"
2013-09-16,105.04,170,"VPOS"
2013-09-17,106.08,170,"VPOS"
2013-09-18,107.09,170,"VPOS"
2013-09-19,106.98,170,"VPOS"
2013-09-20,106.59,170,"VPOS"
2013-09-23,106.6,170,"VPOS"
2013-09-24,106.67,170,"VPOS"
2013-09-25,106.47,170,"VPOS"
2013-09-26,107.06,170,"VPOS"
2013-09-27,106.58,170,"VPOS"
2013-09-30,106.61,170,"VPOS"
2013-10-01,107.85,170,"VPOS"
2013-10-02,107.41,170,"VPOS"
2013-01-21,0.9929,290,"VPOS"
2013-01-22,0.9919,290,"VPOS"
2013-01-23,0.9992,290,"VPOS"
2013-01-24,1.0026,290,"VPOS"
2013-01-25,1.0058,290,"VPOS"
2013-01-28,1.0063,290,"VPOS"
2013-01-29,1.0009,290,"VPOS"
2013-01-30,1.0014,290,"VPOS"
2013-01-31,0.9972,290,"VPOS"
2013-02-01,0.9965,290,"VPOS"
2013-02-04,0.9988,290,"VPOS"
2013-02-05,0.9956,290,"VPOS"
2013-02-06,0.9956,290,"VPOS"
2013-02-07,0.9979,290,"VPOS"
2013-02-08,1.002,290,"VPOS"
2013-02-11,1.0048,290,"VPOS"
2013-02-12,1.0023,290,"VPOS"
2013-02-13,1.0018,290,"VPOS"
2013-02-14,1.0009,290,"VPOS"
2013-02-15,1.0064,290,"VPOS"
2013-02-18,1.0107,290,"VPOS"
2013-02-19,1.0112,290,"VPOS"
2013-02-20,1.0167,290,"VPOS"
2013-02-21,1.0185,290,"VPOS"
2013-02-22,1.0215,290,"VPOS"
2013-02-25,1.0262,290,"VPOS"
2013-02-26,1.0261,290,"VPOS"
2013-02-27,1.0229,290,"VPOS"
2013-02-28,1.0306,290,"VPOS"
2013-03-01,1.0268,290,"VPOS"
2013-03-04,1.0273,290,"VPOS"
2013-03-05,1.0269,290,"VPOS"
2013-03-06,1.032,290,"VPOS"
2013-03-07,1.0294,290,"VPOS"
2013-03-08,1.0287,290,"VPOS"
2013-03-11,1.0259,290,"VPOS"
2013-03-12,1.0257,290,"VPOS"
2013-03-13,1.0276,290,"VPOS"
2013-03-14,1.0222,290,"VPOS"
2013-03-15,1.0194,290,"VPOS"
2013-03-18,1.0222,290,"VPOS"
2013-03-19,1.0268,290,"VPOS"
2013-03-20,1.026,290,"VPOS"
2013-03-21,1.0252,290,"VPOS"
2013-03-22,1.0232,290,"VPOS"
2013-03-25,1.0213,290,"VPOS"
2013-03-26,1.0161,290,"VPOS"
2013-03-27,1.016,290,"VPOS"
2013-03-28,1.0162,290,"VPOS"
2013-03-29,1.0174,290,"VPOS"
2013-04-01,1.0168,290,"VPOS"
2013-04-02,1.0148,290,"VPOS"
2013-04-03,1.0146,290,"VPOS"
2013-04-04,1.0127,290,"VPOS"
2013-04-05,1.0176,290,"VPOS"
2013-04-08,1.0166,290,"VPOS"
2013-04-09,1.0164,290,"VPOS"
2013-04-10,1.0142,290,"VPOS"
2013-04-11,1.0105,290,"VPOS"
2013-04-12,1.0136,290,"VPOS"
2013-04-15,1.0256,290,"VPOS"
2013-04-16,1.0207,290,"VPOS"
2013-04-17,1.0266,290,"VPOS"
2013-04-18,1.0264,290,"VPOS"
2013-04-19,1.0266,290,"VPOS"
2013-04-22,1.0256,290,"VPOS"
2013-04-23,1.0257,290,"VPOS"
2013-04-24,1.0256,290,"VPOS"
2013-04-25,1.0198,290,"VPOS"
2013-04-26,1.0167,290,"VPOS"
2013-04-29,1.0112,290,"VPOS"
2013-04-30,1.0073,290,"VPOS"
2013-05-01,1.0083,290,"VPOS"
2013-05-02,1.0105,290,"VPOS"
2013-05-03,1.008,290,"VPOS"
2013-05-06,1.0068,290,"VPOS"
2013-05-07,1.0042,290,"VPOS"
2013-05-08,1.0027,290,"VPOS"
2013-05-09,1.0068,290,"VPOS"
2013-05-10,1.01,290,"VPOS"
2013-05-13,1.0106,290,"VPOS"
2013-05-14,1.018,290,"VPOS"
2013-05-15,1.0157,290,"VPOS"
2013-05-16,1.0195,290,"VPOS"
2013-05-17,1.0281,290,"VPOS"
2013-05-20,1.0241,290,"VPOS"
2013-05-21,1.0267,290,"VPOS"
2013-05-22,1.0367,290,"VPOS"
2013-05-23,1.0305,290,"VPOS"
2013-05-24,1.0318,290,"VPOS"
2013-05-27,1.0341,290,"VPOS"
2013-05-28,1.0398,290,"VPOS"
2013-05-29,1.0351,290,"VPOS"
2013-05-30,1.0297,290,"VPOS"
2013-05-31,1.0375,290,"VPOS"
2013-06-03,1.0278,290,"VPOS"
2013-06-04,1.0342,290,"VPOS"
2013-06-05,1.0345,290,"VPOS"
2013-06-06,1.0264,290,"VPOS"
2013-06-07,1.0197,290,"VPOS"
2013-06-10,1.0194,290,"VPOS"
2013-06-11,1.0189,290,"VPOS"
2013-06-12,1.0212,290,"VPOS"
2013-06-13,1.0159,290,"VPOS"
2013-06-14,1.017,290,"VPOS"
2013-06-17,1.0186,290,"VPOS"
2013-06-18,1.0212,290,"VPOS"
2013-06-19,1.0273,290,"VPOS"
2013-06-20,1.0387,290,"VPOS"
2013-06-21,1.0457,290,"VPOS"
2013-06-24,1.0501,290,"VPOS"
2013-06-25,1.0515,290,"VPOS"
2013-06-26,1.047,290,"VPOS"
2013-06-27,1.0477,290,"VPOS"
2013-06-28,1.0519,290,"VPOS"
2013-07-01,1.0497,290,"VPOS"
2013-07-02,1.0544,290,"VPOS"
2013-07-03,1.0505,290,"VPOS"
2013-07-04,1.0515,290,"VPOS"
2013-07-05,1.0582,290,"VPOS"
2013-07-08,1.0558,290,"VPOS"
2013-07-09,1.0527,290,"VPOS"
2013-07-10,1.0465,290,"VPOS"
2013-07-11,1.0366,290,"VPOS"
2013-07-12,1.0395,290,"VPOS"
2013-07-15,1.0427,290,"VPOS"
2013-07-16,1.0369,290,"VPOS"
2013-07-17,1.0405,290,"VPOS"
2013-07-18,1.0378,290,"VPOS"
2013-07-19,1.0368,290,"VPOS"
2013-07-22,1.0334,290,"VPOS"
2013-07-23,1.0287,290,"VPOS"
2013-07-24,1.0316,290,"VPOS"
2013-07-25,1.028,290,"VPOS"
2013-07-26,1.0278,290,"VPOS"
2013-07-29,1.0265,290,"VPOS"
2013-07-30,1.0305,290,"VPOS"
2013-07-31,1.0277,290,"VPOS"
2013-08-01,1.0346,290,"VPOS"
2013-08-02,1.0392,290,"VPOS"
2013-08-05,1.036,290,"VPOS"
2013-08-06,1.0377,290,"VPOS"
2013-08-07,1.0423,290,"VPOS"
2013-08-08,1.0328,290,"VPOS"
2013-08-09,1.0289,290,"VPOS"
2013-08-12,1.0307,290,"VPOS"
2013-08-13,1.0343,290,"VPOS"
2013-08-14,1.0342,290,"VPOS"
2013-08-15,1.0306,290,"VPOS"
2013-08-16,1.0336,290,"VPOS"
2013-08-19,1.0345,290,"VPOS"
